pin,address,billing_city,current_delq,prior_years,state_description,neighborhood,council_district,ward,tact,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
0045N00318000000,2406 CALIFORNIA AVE,"PITTSBURGH, PA",1629.64,5,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03188668,40.46411345
0045N00320000000,2415 COLORADO ST,"SEWICKLEY, PA",209.66,1,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03202039,40.46428572
0045N00325000000,0 CALIFORNIA AVE,"PITTSBURGH, PA",346.89,20,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03222944,40.46454855
0045N00326000000,2428 CALIFORNIA AVE,"CAMBRIDGE SPRI, PA",975.89,14,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.03227525,40.46461577
0045P00017000000,0 SUCCESS ST,",",249.7,20,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02487291,40.4626005
0045P00075000000,1121 ISLAND AVE,"PITTSBURGH, PA",362.16,0,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02478576,40.46318065
0045P00091000000,1223 ISLAND AVE,"GREENSBURG, PA",726.2,13,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.0258398,40.46289105
0045P00092000000,1225 ISLAND AVE,"PITTSBURGH, PA",115.41,6,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02594564,40.4628702
0045P00098000000,1233 ISLAND AVE,"PITTSBURGH, PA",972.08,0,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02630737,40.46280139
0045P00168000000,2405 RIDGELAND PL,"PITTSBURGH, PA",802.08,0,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.02515912,40.46486159
0045P00179000000,1151 RIDGELAND DR,"PITTSBURGH, PA",941.56,0,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.02600206,40.46474167
0045P00183000000,1161 RIDGELAND DR,"SANDY LAKE, PA",901.19,0,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.02640368,40.46463725
0045P00187000000,1169 RIDGELAND DR,"PITTSBURGH, PA",1132.16,1,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.02679147,40.46461805
0045P00190000000,1201 MARSHALL AVE,"PITTSBURGH, PA",1317.06,2,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.02687462,40.46485647
0045P00196000000,1211 MARSHALL AVE,"PITTSBURGH, PA",693.43,12,Residential,Marshall-Shadeland,1,27,42003270400,1,27,1,1-9,-80.0271128,40.46460563
0045R00017000000,0 SUCCESS ST,"JOHNSTOWN, PA",5.73,15,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02373158,40.46316256
0045R00018000000,1102 SUCCESS ST,",",676.64,16,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02379128,40.46315216
0045R00020000000,1106 SUCCESS ST,"PITTSBURGH, PA",88.98,1,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02390626,40.46313016
0045R00024000000,1114 SUCCESS ST,"PITTSBURGH, PA",529.89,14,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02414014,40.46308792
0045R00037000000,1105 ISLAND AVE,"PITTSBURGH, PA",2039.42,0,Residential,California-Kirkbride,6,21,42003250700,1,21,1,1-9,-80.02385532,40.4633297
0045R00091000000,0 BRIGHTON RD,"PITTSBURGH, PA",11.44,18,Residential,California-Kirkbride,6,25,42003250700,1,25,1,1-9,-80.02052,40.46278652
0045R00102000000,155 FARRIS ST,"PITTSBURGH, PA",1155.06,12,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.02056837,40.46337378
0045S00038000000,751 CHAUTAUQUA CT,"COPPELL, TX",400.26,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01842463,40.46424228
0045S00039000001,749 CHAUTAUQUA CT,"PITTSBURGH, PA",920.61,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01846779,40.46423141
0045S00040000000,747 CHAUTAUQUA CT,"PITTSBURGH, PA",920.61,6,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01851624,40.46422836
0045S00041000000,745 CHAUTAUQUA CT,"PITTSBURGH, PA",920.61,6,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01856348,40.46421969
0045S00049000000,729 CHAUTAUQUA CT,"PITTSBURGH, PA",476.52,1,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01851737,40.46361087
0045S00051000000,725 CHAUTAUQUA CT,"PITTSBURGH, PA",930.15,10,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01842218,40.46363054
0045S00057000000,713 CHAUTAUQUA CT,"PITTSBURGH, PA",79.29,2,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01815416,40.46368231
0045S00059000000,709 CHAUTAUQUA CT,"PITTSBURGH, PA",476.52,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01807033,40.46369425
0045S00060000000,707 CHAUTAUQUA CT,"PITTSBURGH, PA",394.19,0,Residential,Perry South,6,25,42003261400,1,25,1,1-12,-80.01802613,40.46370535
